파일	크기	매직	헤더크기	f08	f09	f10_11	f12_13
SAYA01_M.GDT	6822	DA1	6822	44	14	32	264
0010_2.GDT	23456	DA1	23456	5	70	4	296
0020.GDT	22214	DA1	22214	5	70	4	296
0030.GDT	22205	DA1	22205	5	70	4	296
0040.GDT	23407	DA1	23407	5	70	4	296
0040B.GDT	760	DA1	760	22	18	160	136
0050.GDT	29786	DA1	29786	5	70	4	296
0060.GDT	28152	DA1	28152	5	70	4	296
0070.GDT	33405	DA1	33405	5	70	4	296
0100.GDT	22575	DA1	22575	5	70	4	296
0100B.ADT	189472	ADT	0	0	0	0	0
0100B.GDT	34139	DA1	34139	3	74	0	400
0100BB.GDT	4044	DA1	4044	7	65	324	24
0110.GDT	3169	DA1	3169	10	18	24	136
0120.GDT	2844	DA1	2844	52	18	24	136
0130.GDT	17462	DA1	17462	5	70	4	296
1010.GDT	19931	DA1	19931	5	70	4	296
1010B.GDT	14515	DA1	14515	25	44	8	288
1010B_M.GDT	2859	DA1	2859	43	10	40	96
1010C.GDT	3183	DA1	3183	12	14	40	104
1020.GDT	14873	DA1	14873	5	70	4	296
1020_2.GDT	32765	DA1	32765	5	70	4	296
1020_3.GDT	15544	DA1	15544	5	70	4	296
1030.GDT	14702	DA1	14702	5	70	4	296
1040.GDT	30659	DA1	30659	5	70	4	296
1040B.GDT	38968	DA1	38968	5	70	4	296
1050.GDT	30698	DA1	30698	5	70	4	296
1050B.GDT	23238	DA1	23238	5	70	4	296
1060.GDT	17810	DA1	17810	5	70	4	296
1070.GDT	19619	DA1	19619	5	70	4	296
ALL.GDT	47722	DA1	47722	5	70	4	296
ALL2.GDT	39852	DA1	39852	6	68	8	288
BAST_M01.GDT	31274	DA1	31274	0	65	24	168
BAST_M02.GDT	23223	DA1	23223	0	52	24	168
BI_BA_B.GDT	106	DA1	106	53	3	77	7
BI_BAST.GDT	18668	DA1	18668	36	38	8	288
BI01.GDT	34295	DA1	34295	5	70	4	296
BI02.GDT	34820	DA1	34820	5	70	4	296
BI02B.GDT	37440	DA1	37440	5	70	4	296
BI03.GDT	26357	DA1	26357	5	70	4	296
BI03_M.GDT	13615	DA1	13615	33	24	0	360
BI04.GDT	39995	DA1	39995	5	70	4	296
BI04_M.GDT	12155	DA1	12155	56	14	48	336
BI05.GDT	36537	DA1	36537	5	70	4	296
BI06.GDT	29412	DA1	29412	5	70	4	296
BI06B.GDT	12318	DA1	12318	6	59	8	288
BI06C.GDT	7843	DA1	7843	6	68	36	260
BI06D.GDT	22252	DA1	22252	6	68	8	288
BI06E.GDT	6126	DA1	6126	14	49	69	227
BI06E_M.GDT	9760	DA1	9760	39	24	72	168
FA_BA_B.GDT	108	DA1	108	53	3	107	17
FA_BAST.GDT	22615	DA1	22615	32	42	8	288
FA01.GDT	46343	DA1	46343	5	70	4	296
FA02.GDT	37361	DA1	37361	5	70	4	296
FA02_M.GDT	10373	DA1	10373	50	14	16	288
FA02B.GDT	113	DA1	113	52	2	85	17
FA03.ADT	54829	ADT	0	0	0	0	0
FA03.GDT	26876	DA1	26876	5	70	4	296
FA03_M.GDT	8328	DA1	8328	28	18	24	192
FA03B.GDT	97	DA1	97	36	3	97	9
FA04.GDT	40988	DA1	40988	5	70	4	296
FA05.GDT	34554	DA1	34554	5	70	4	296
FA06.GDT	32440	DA1	32440	5	70	4	296
FA07.GDT	41880	DA1	41880	5	70	4	296
FA08.ADT	34516	ADT"	0	0	0	0	0
FA08.GDT	33120	DA1	33120	5	70	4	296
FA09.ADT	17875	ADT	0	0	0	0	0
FA09.GDT	39623	DA1	39623	5	70	4	296
FA09B.GDT	12857	DA1	12857	27	34	24	208
FA10.GDT	35044	DA1	35044	5	70	4	296
FA11.GDT	38365	DA1	38365	5	70	4	296
KAI_BAST.GDT	25629	DA1	25629	29	45	8	288
KO01.GDT	43565	DA1	43565	5	70	4	296
MAI_BA_B.GDT	87	DA1	87	48	3	129	5
MAI_BAST.GDT	25932	DA1	25932	28	46	8	288
MAI01.GDT	34605	DA1	34605	5	70	4	296
MAI01_M.GDT	6289	DA1	6289	18	15	48	240
MAI02.GDT	37094	DA1	37094	5	70	4	296
MAI02B.GDT	19421	DA1	19421	13	61	28	268
MAI02C.GDT	30491	DA1	30491	5	70	4	296
MAI03.GDT	33799	DA1	33799	5	70	4	296
MAI04.GDT	34981	DA1	34981	5	70	4	296
MAI04_M.GDT	4171	DA1	4171	32	16	64	120
MAI04B.GDT	980	DA1	980	19	28	70	227
MAI05.GDT	30797	DA1	30797	5	70	4	296
MEG_BA_B.GDT	93	DA1	93	51	3	122	8
MEG_BAST.GDT	21238	DA1	21238	29	45	8	288
MEG01.GDT	31159	DA1	31159	5	70	4	296
MEG01_M.GDT	9207	DA1	9207	27	23	56	216
MEG01B.GDT	1694	DA1	1694	27	23	60	120
MEG01C.GDT	905	DA1	905	27	23	55	125
MEG02.GDT	33830	DA1	33830	5	70	4	296
MEG03.GDT	40002	DA1	40002	5	70	4	296
MEG04.GDT	19121	DA1	19121	5	70	4	296
MEG05.ADT	19051	ADT	0	0	0	0	0
MEG05.GDT	38455	DA1	38455	5	70	4	296
MEG06.GDT	30411	DA1	30411	5	70	4	296
MEG06_M.GDT	8556	DA1	8556	33	18	24	192
MENU1.GDT	7145	DA1	7145	23	35	137	183
MENU2.GDT	7208	DA1	7208	23	35	137	183
MUSIC.GDT	6926	DA1	6926	21	39	41	253
R&M&M.GDT	37860	DA1	37860	5	70	4	296
R&M&MB.GDT	43529	DA1	43529	5	70	4	296
R&M01.GDT	27674	DA1	27674	5	70	4	296
R&M02.GDT	28191	DA1	28191	5	70	4	296
R&M03.GDT	40564	DA1	40564	5	70	4	296
R&M03B.GDT	17136	DA1	17136	19	55	28	268
R&M03C.GDT	4886	DA1	4886	19	44	28	268
R&M04.GDT	39607	DA1	39607	5	70	4	296
R&S.GDT	36949	DA1	36949	5	70	4	296
R&SB.GDT	20567	DA1	20567	6	42	8	288
R&SC.GDT	19950	DA1	19950	33	41	8	288
RA&TO01.GDT	38274	DA1	38274	5	70	4	296
